,all_accuracy,exactly_half_AB_accuracy,global_step,loss,most_AB_accuracy,most_not_AB_accuracy,not_all_accuracy,only_accuracy,total_accuracy
0,0.12550881505012512,0.8404669165611267,1,0.6829442977905273,0.5966851115226746,0.5779310464859009,0.9128205180168152,0.9187418222427368,0.6330000162124634
1,0.3317503333091736,0.8404669165611267,51,0.6622532606124878,0.5966851115226746,0.5889655351638794,0.8999999761581421,0.9187418222427368,0.6833333373069763
2,0.7381275296211243,0.8404669165611267,101,0.6448581218719482,0.5966851115226746,0.5889655351638794,0.892307698726654,0.9187418222427368,0.7821666598320007
3,0.9206241369247437,0.8404669165611267,151,0.6299344301223755,0.5966851115226746,0.5889655351638794,0.9038461446762085,0.9187418222427368,0.828499972820282
4,0.9206241369247437,0.8404669165611267,201,0.610397458076477,0.5966851115226746,0.5889655351638794,0.9115384817123413,0.9187418222427368,0.8295000195503235
5,0.9206241369247437,0.8404669165611267,251,0.587058424949646,0.5966851115226746,0.5889655351638794,0.9115384817123413,0.9187418222427368,0.8295000195503235
6,0.9206241369247437,0.8404669165611267,301,0.5618777275085449,0.5966851115226746,0.5889655351638794,0.9128205180168152,0.9187418222427368,0.8296666741371155
7,0.9206241369247437,0.8404669165611267,351,0.535778820514679,0.5966851115226746,0.5889655351638794,0.9141025543212891,0.9187418222427368,0.8298333287239075
8,0.9206241369247437,0.8404669165611267,401,0.5122533440589905,0.5966851115226746,0.5889655351638794,0.9192307591438293,0.9187418222427368,0.8305000066757202
9,0.9206241369247437,0.8404669165611267,451,0.4956601560115814,0.5966851115226746,0.5889655351638794,0.9205127954483032,0.9187418222427368,0.8306666612625122
10,0.9206241369247437,0.8404669165611267,501,0.4787125885486603,0.5966851115226746,0.5889655351638794,0.9192307591438293,0.9187418222427368,0.8305000066757202
11,0.9206241369247437,0.8404669165611267,551,0.46765556931495667,0.5966851115226746,0.5889655351638794,0.9205127954483032,0.9187418222427368,0.8306666612625122
12,0.9206241369247437,0.8404669165611267,601,0.45259326696395874,0.5966851115226746,0.5889655351638794,0.9192307591438293,0.9187418222427368,0.8305000066757202
13,0.9206241369247437,0.8404669165611267,651,0.44102686643600464,0.5966851115226746,0.5889655351638794,0.9192307591438293,0.9187418222427368,0.8305000066757202
14,0.9206241369247437,0.8404669165611267,701,0.4325685501098633,0.5966851115226746,0.5889655351638794,0.9179487228393555,0.9187418222427368,0.8303333520889282
15,0.9206241369247437,0.8404669165611267,751,0.42730775475502014,0.5966851115226746,0.5889655351638794,0.9166666865348816,0.9187418222427368,0.8301666378974915
16,0.9206241369247437,0.8404669165611267,801,0.42112284898757935,0.5966851115226746,0.5889655351638794,0.9179487228393555,0.9187418222427368,0.8303333520889282
17,0.9206241369247437,0.8404669165611267,851,0.41306501626968384,0.5966851115226746,0.5889655351638794,0.9179487228393555,0.9187418222427368,0.8303333520889282
