,all_accuracy,global_step,loss,most_AB_accuracy,most_not_AB_accuracy,not_all_accuracy,not_only_accuracy,only_accuracy,total_accuracy
0,0.48785293102264404,1,0.7304415106773376,0.5470430254936218,0.43105757236480713,0.07493188232183456,0.0903225839138031,0.08192281424999237,0.2863333225250244
1,0.2934996783733368,51,0.7157493829727173,0.5483871102333069,0.42971888184547424,0.11989101022481918,0.09290322661399841,0.0995260700583458,0.24716666340827942
2,0.436638206243515,101,0.7002894878387451,0.5483871102333069,0.43105757236480713,0.531335175037384,0.09419354796409607,0.5545023679733276,0.44616666436195374
3,0.6250820755958557,151,0.683135986328125,0.5483871102333069,0.43105757236480713,0.8405994772911072,0.10580645501613617,0.859851062297821,0.6085000038146973
4,0.8154957294464111,201,0.66428542137146,0.5470430254936218,0.42971888184547424,0.8991825580596924,0.19612903892993927,0.9092755317687988,0.6875
5,0.8594878315925598,251,0.6429291367530823,0.5483871102333069,0.42971888184547424,0.9182561039924622,0.8825806379318237,0.9174001216888428,0.7918333411216736
6,0.9192383289337158,301,0.618001401424408,0.5456989407539368,0.44712182879447937,0.9209809303283691,0.9148387312889099,0.9180771708488464,0.8134999871253967
7,0.9290873408317566,351,0.5903303623199463,0.5470430254936218,0.548862099647522,0.919618546962738,0.9122580885887146,0.9180771708488464,0.82833331823349
8,0.9277741312980652,401,0.5550904273986816,0.5470430254936218,0.6157965064048767,0.919618546962738,0.9109677672386169,0.9180771708488464,0.8361666798591614
9,0.9271175265312195,451,0.5224501490592957,0.5470430254936218,0.6465863585472107,0.9209809303283691,0.9135484099388123,0.9180771708488464,0.8403333425521851
10,0.9271175265312195,501,0.4908354580402374,0.5470430254936218,0.6586345434188843,0.9182561039924622,0.9148387312889099,0.9180771708488464,0.8416666388511658
11,0.9271175265312195,551,0.4634738564491272,0.5470430254936218,0.6800535321235657,0.9182561039924622,0.9148387312889099,0.9180771708488464,0.8443333506584167
12,0.9271175265312195,601,0.4391043484210968,0.5470430254936218,0.7001338601112366,0.9209809303283691,0.9148387312889099,0.9180771708488464,0.8471666574478149
13,0.9271175265312195,651,0.4179144501686096,0.5470430254936218,0.7001338601112366,0.9209809303283691,0.9148387312889099,0.9180771708488464,0.8471666574478149
14,0.9271175265312195,701,0.404835969209671,0.5456989407539368,0.6827309131622314,0.9209809303283691,0.9135484099388123,0.9180771708488464,0.8446666598320007
15,0.9271175265312195,751,0.39225858449935913,0.5470430254936218,0.6894243359565735,0.9209809303283691,0.9135484099388123,0.9180771708488464,0.8456666469573975
16,0.9271175265312195,801,0.37777864933013916,0.5470430254936218,0.721552848815918,0.9209809303283691,0.9135484099388123,0.9180771708488464,0.8496666550636292
17,0.9271175265312195,851,0.3677106201648712,0.5470430254936218,0.7309237122535706,0.9209809303283691,0.9135484099388123,0.9180771708488464,0.8508333563804626
18,0.9271175265312195,901,0.36025235056877136,0.5470430254936218,0.7309237122535706,0.9209809303283691,0.9135484099388123,0.9180771708488464,0.8508333563804626
19,0.9271175265312195,951,0.35400643944740295,0.5456989407539368,0.7295849919319153,0.9209809303283691,0.9135484099388123,0.9180771708488464,0.8504999876022339
20,0.9271175265312195,1001,0.35010144114494324,0.5349462628364563,0.7175368070602417,0.9209809303283691,0.9135484099388123,0.9180771708488464,0.8476666808128357
21,0.9271175265312195,1051,0.34520456194877625,0.5349462628364563,0.7443105578422546,0.9209809303283691,0.9135484099388123,0.9180771708488464,0.8510000109672546
