,all_accuracy,global_step,loss,most_BA_accuracy,most_not_BA_accuracy,not_all_accuracy,not_only_accuracy,only_accuracy,total_accuracy
0,0.3840000033378601,1,0.7023129463195801,0.628000020980835,0.5893333554267883,0.07733333110809326,0.06266666948795319,0.9266666769981384,0.44466665387153625
1,0.24133333563804626,51,0.6965469717979431,0.6320000290870667,0.5893333554267883,0.10400000214576721,0.18133333325386047,0.9319999814033508,0.4466666579246521
2,0.1613333374261856,101,0.6916638612747192,0.6079999804496765,0.5799999833106995,0.17733334004878998,0.6186666488647461,0.9346666932106018,0.5133333206176758
3,0.11733333021402359,151,0.6878206729888916,0.5546666383743286,0.5640000104904175,0.382666677236557,0.8560000061988831,0.9386666417121887,0.5688889026641846
4,0.1066666692495346,201,0.6828780174255371,0.48133334517478943,0.5360000133514404,0.8199999928474426,0.9359999895095825,0.9026666879653931,0.6304444670677185
5,0.1133333370089531,251,0.6762320399284363,0.46799999475479126,0.5293333530426025,0.9306666851043701,0.9399999976158142,0.8320000171661377,0.6355555653572083
6,0.11599999666213989,301,0.6700640916824341,0.4493333399295807,0.5239999890327454,0.9293333292007446,0.9399999976158142,0.6986666917800903,0.6095555424690247
7,0.13733333349227905,351,0.6612169146537781,0.4480000138282776,0.5133333206176758,0.9293333292007446,0.9399999976158142,0.5146666765213013,0.5804444551467896
8,0.1679999977350235,401,0.6505257487297058,0.48399999737739563,0.515999972820282,0.9293333292007446,0.9399999976158142,0.40533334016799927,0.5737777948379517
9,0.24799999594688416,451,0.6375499367713928,0.5,0.5226666927337646,0.9293333292007446,0.9399999976158142,0.3453333377838135,0.5808888673782349
10,0.30533334612846375,501,0.6238682866096497,0.5013333559036255,0.518666684627533,0.9293333292007446,0.9399999976158142,0.2720000147819519,0.5777778029441833
11,0.36933332681655884,551,0.60873943567276,0.4986666738986969,0.518666684627533,0.9293333292007446,0.9399999976158142,0.25200000405311584,0.5846666693687439
12,0.5106666684150696,601,0.5909713506698608,0.5733333230018616,0.5266666412353516,0.9293333292007446,0.9399999976158142,0.2613333463668823,0.6235555410385132
13,0.5853333473205566,651,0.5757437944412231,0.6013333201408386,0.5320000052452087,0.9293333292007446,0.9399999976158142,0.30799999833106995,0.6493333578109741
14,0.6026666760444641,701,0.5630054473876953,0.6039999723434448,0.5306666493415833,0.9293333292007446,0.9399999976158142,0.3933333456516266,0.6666666865348816
15,0.6600000262260437,751,0.5482628345489502,0.6293333172798157,0.527999997138977,0.9293333292007446,0.9399999976158142,0.5373333096504211,0.7039999961853027
16,0.6853333115577698,801,0.5324317216873169,0.6320000290870667,0.5373333096504211,0.9293333292007446,0.9399999976158142,0.656000018119812,0.7300000190734863
17,0.734666645526886,851,0.5162104964256287,0.6426666378974915,0.5506666898727417,0.9293333292007446,0.9399999976158142,0.781333327293396,0.7631111145019531
18,0.7519999742507935,901,0.5071516633033752,0.6573333144187927,0.5519999861717224,0.9293333292007446,0.9399999976158142,0.7973333597183228,0.7713333368301392
